id,dt,ct,status,orgId,coachingId,coachingDataCategoryId,note,count,engagementId,userId,studentNum,type
368909,2022-03-07 15:05:21,2022-03-07 14:58:11,delete,1000163,4162,,,,2,1259,1,engagement
368910,2022-03-07 15:05:21,2022-03-07 14:58:16,delete,1000163,4162,,,,5,1259,1,engagement
368911,2022-03-07 15:05:21,2022-03-07 14:58:20,delete,1000163,4162,,,,11,1259,1,engagement
368912,2022-03-07 15:05:21,2022-03-07 14:58:26,delete,1000163,4162,,,,1,1259,2,engagement
368913,2022-03-07 15:05:21,2022-03-07 14:58:29,delete,1000163,4162,,,,8,1259,2,engagement
368914,2022-03-07 15:05:21,2022-03-07 14:58:31,delete,1000163,4162,,,,13,1259,2,engagement
368915,2022-03-07 15:05:21,2022-03-07 15:00:26,delete,1000163,4162,,,4,,1259,,interactionactivestudentresponse
368916,2022-03-07 15:05:21,2022-03-07 15:01:03,delete,1000163,4162,,,2,,1259,,interactionacademicaffirmative
368917,2022-03-07 15:05:21,2022-03-07 15:01:03,delete,1000163,4162,,,2,,1259,,interactionacademiccorrective
368918,2022-03-07 15:05:21,2022-03-07 15:04:00,delete,1000163,4162,,,,1,1259,3,engagement
368919,2022-03-07 15:05:21,2022-03-07 15:04:01,delete,1000163,4162,,,,8,1259,3,engagement
368920,2022-03-07 15:05:21,2022-03-07 15:04:02,delete,1000163,4162,,,,13,1259,3,engagement
368921,2022-03-07 15:05:21,2022-03-07 15:04:59,delete,1000163,4162,,,0,,1259,,interactionbehavioralaffirmative
368922,2022-03-07 15:05:21,2022-03-07 15:04:59,delete,1000163,4162,,,0,,1259,,interactionbehavioralcorrective
368923,2022-03-07 15:05:21,2022-03-07 15:04:59,delete,1000163,4162,,,0,,1259,,interactionharsh
368924,2022-03-07 15:05:21,2022-03-07 15:04:59,delete,1000163,4162,,,0,,1259,,interactioncannotdetermine
368925,2022-03-07 15:22:09,2022-03-07 15:09:07,delete,1000163,4164,,,12,,3745,,interactionactivestudentresponse
368926,2022-03-07 15:22:09,2022-03-07 15:09:12,delete,1000163,4164,,,,5,3745,1,engagement
368927,2022-03-07 15:22:09,2022-03-07 15:09:16,delete,1000163,4164,,,,2,3745,1,engagement
368928,2022-03-07 15:21:47,2022-03-07 15:09:17,delete,1000163,4163,,,,2,3739,1,engagement
368929,2022-03-07 15:21:47,2022-03-07 15:09:20,delete,1000163,4163,,,,5,3739,1,engagement
368930,2022-03-07 15:22:09,2022-03-07 15:09:21,delete,1000163,4164,,,,11,3745,1,engagement
368931,2022-03-07 15:21:47,2022-03-07 15:09:26,delete,1000163,4163,,,,11,3739,1,engagement
368932,2022-03-07 15:22:09,2022-03-07 15:09:36,delete,1000163,4164,,,,9,3745,2,engagement
368933,2022-03-07 15:22:09,2022-03-07 15:09:38,delete,1000163,4164,,,,1,3745,2,engagement
368934,2022-03-07 15:21:47,2022-03-07 15:09:40,delete,1000163,4163,,,3,,3739,,interactionactivestudentresponse
368935,2022-03-07 15:22:09,2022-03-07 15:09:42,delete,1000163,4164,,,,11,3745,2,engagement
368936,2022-03-07 15:22:09,2022-03-07 15:09:54,delete,1000163,4164,,,,8,3745,3,engagement
368937,2022-03-07 15:22:09,2022-03-07 15:10:04,delete,1000163,4164,,,4,,3745,,interactionacademicaffirmative
368938,2022-03-07 15:21:47,2022-03-07 15:10:07,delete,1000163,4163,,,,1,3739,2,engagement
368939,2022-03-07 15:22:09,2022-03-07 15:10:09,delete,1000163,4164,,,,2,3745,3,engagement
368940,2022-03-07 15:22:09,2022-03-07 15:10:10,delete,1000163,4164,,,,11,3745,3,engagement
