id,dt,ct,status,name,orgId,groupType,color
444,2022-05-04 18:55:22,2022-05-04 18:55:22,active,World Languages,1000163,coachinggroup,#87CEEB
443,2022-05-04 18:54:47,2022-05-04 18:54:47,active,SPED,1000163,coachinggroup,#87CEEB
442,2022-05-04 18:53:24,2022-05-04 18:53:24,active,Social Studies,1000163,coachinggroup,#87CEEB
441,2022-05-04 18:51:49,2022-05-04 18:51:49,active,Science,1000163,coachinggroup,#87CEEB
440,2022-05-04 18:49:14,2022-05-04 18:49:14,active,Math,1000163,coachinggroup,#87CEEB
439,2022-05-04 18:48:10,2022-05-04 18:48:10,active,Health & PE,1000163,coachinggroup,#87CEEB
438,2022-05-04 18:47:13,2022-05-04 18:47:13,active,ELA,1000163,coachinggroup,#87CEEB
437,2022-05-04 18:45:36,2022-05-04 18:45:36,active,CTE,1000163,coachinggroup,#87CEEB
436,2022-05-04 18:44:30,2022-05-04 18:44:30,active,Fine Arts,1000163,coachinggroup,#87CEEB
435,2022-05-04 18:41:20,2022-05-04 18:41:20,active,End,1000163,coachinggroup,#87CEEB
434,2022-05-04 18:34:30,2022-05-04 18:34:30,active,Middle,1000163,coachinggroup,#87CEEB
433,2022-05-04 18:29:08,2022-05-04 18:29:08,active,Beginning,1000163,coachinggroup,#87CEEB
432,2022-05-03 12:12:01,2022-05-03 12:12:01,active,Specials,1000167,coachinggroup,#6495EE
431,2022-05-03 12:11:11,2022-05-03 12:11:11,active,5th Grade,1000167,coachinggroup,#F08080
430,2022-05-03 12:10:44,2022-05-03 12:10:44,active,4th Grade,1000167,coachinggroup,#F0E68C
429,2022-05-03 12:10:22,2022-05-03 12:10:22,active,3rd Grade,1000167,coachinggroup,#8FBC8B
428,2022-05-03 12:09:51,2022-05-03 12:09:51,active,2nd Grade,1000167,coachinggroup,#DDA0DD
427,2022-05-03 12:09:22,2022-05-03 12:09:22,active,1st Grade,1000167,coachinggroup,#FEA07A
426,2022-05-03 12:08:52,2022-05-03 12:08:52,active,Kindergarten,1000167,coachinggroup,#87CEEB
425,2022-05-03 12:03:41,2022-05-03 12:03:41,active,"Devyn's Team",1000128,coachinggroup,#F0E68C
424,2022-05-03 12:02:59,2022-05-03 12:02:59,active,"Todd's Team",1000128,coachinggroup,#87CEEB
423,2022-04-27 09:41:06,2022-04-27 09:41:06,active,Elementary,1000055,coachinggroup,#87CEEB
422,2022-04-27 09:40:18,2022-04-27 09:40:18,active,MS,1000055,coachinggroup,#F0E68C
421,2022-04-27 09:39:50,2022-04-27 09:39:50,active,High School,1000055,coachinggroup,#87CEEB
420,2022-04-26 12:27:39,2022-04-26 12:27:39,active,Warwick ,1000064,coachinggroup,#8FBC8B
419,2022-04-13 10:00:31,2022-04-13 10:00:31,active,Grade 8,1000161,coachinggroup,#87CEEB
418,2022-04-13 09:59:47,2022-04-13 09:59:47,active,Grade 7,1000161,coachinggroup,#87CEEB
417,2022-04-13 09:58:53,2022-04-13 09:58:53,active,Grade 6,1000161,coachinggroup,#87CEEB
416,2022-04-13 06:33:40,2022-04-13 06:33:40,active,Social Studies,1000161,coachinggroup,#8FBC8B
415,2022-04-13 06:33:12,2022-04-13 06:33:12,active,Science,1000161,coachinggroup,#D2B48C
414,2022-04-13 06:32:34,2022-04-13 06:32:34,active,Related Studies,1000161,coachinggroup,#6495EE
413,2022-04-13 06:31:52,2022-04-13 06:31:52,active,Math,1000161,coachinggroup,#F0E68C
412,2022-04-13 06:30:46,2022-04-13 06:30:46,active,ELA,1000161,coachinggroup,#FEA07A
411,2022-04-13 06:30:09,2022-04-13 06:30:09,active,EE/EL,1000161,coachinggroup,#87CEEB
410,2022-05-04 18:23:50,2022-04-05 14:31:19,delete,test4,1000163,coachinggroup,#87CEEB
409,2022-05-04 18:23:53,2022-04-05 14:07:55,delete,test coaching,1000163,coachinggroup,#87CEEB
408,2022-05-04 18:23:57,2022-03-31 12:37:28,delete,test2,1000163,coachinggroup,#87CEEB
407,2022-05-04 18:24:00,2022-03-30 15:14:24,delete,Test,1000163,coachinggroup,#87CEEB
406,2022-04-27 06:24:47,2022-03-28 10:46:53,active,9 - 12,1000064,coachinggroup,#DDA0DD
405,2022-04-27 06:24:51,2022-03-28 10:46:09,active,5 - 8 ,1000064,coachinggroup,#FEA07A
404,2022-04-27 06:24:56,2022-03-28 10:45:24,active,Pre-K - 4,1000064,coachinggroup,#87CEEB
403,2022-03-28 10:42:28,2022-03-18 16:00:16,delete,Test,1000064,coachinggroup,#87CEEB
